Exchange,Token,LotSize,GNGD,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
MCX,243045,100,1,CRUDEOIL,CRUDEOIL17AUG22P11000,17-AUG-2022,OPTFUT,PE,11000,0.1,
MCX,243044,100,1,CRUDEOIL,CRUDEOIL17AUG22C11000,17-AUG-2022,OPTFUT,CE,11000,0.1,
MCX,243043,100,1,CRUDEOIL,CRUDEOIL17AUG22P10950,17-AUG-2022,OPTFUT,PE,10950,0.1,
MCX,243042,100,1,CRUDEOIL,CRUDEOIL17AUG22C10950,17-AUG-2022,OPTFUT,CE,10950,0.1,
MCX,243041,100,1,CRUDEOIL,CRUDEOIL15JUL22P11350,15-JUL-2022,OPTFUT,PE,11350,0.1,
MCX,243040,100,1,CRUDEOIL,CRUDEOIL15JUL22C11350,15-JUL-2022,OPTFUT,CE,11350,0.1,
MCX,243039,100,1,CRUDEOIL,CRUDEOIL15JUL22P11300,15-JUL-2022,OPTFUT,PE,11300,0.1,
MCX,243038,100,1,CRUDEOIL,CRUDEOIL15JUL22C11300,15-JUL-2022,OPTFUT,CE,11300,0.1,
MCX,243037,100,1,CRUDEOIL,CRUDEOIL15JUL22P11250,15-JUL-2022,OPTFUT,PE,11250,0.1,
MCX,243036,100,1,CRUDEOIL,CRUDEOIL15JUL22C11250,15-JUL-2022,OPTFUT,CE,11250,0.1,
MCX,243035,100,1,CRUDEOIL,CRUDEOIL15JUL22P11200,15-JUL-2022,OPTFUT,PE,11200,0.1,
MCX,243034,100,1,CRUDEOIL,CRUDEOIL15JUL22C11200,15-JUL-2022,OPTFUT,CE,11200,0.1,
MCX,243033,100,1,CRUDEOIL,CRUDEOIL15JUL22P11150,15-JUL-2022,OPTFUT,PE,11150,0.1,
MCX,243032,100,1,CRUDEOIL,CRUDEOIL15JUL22C11150,15-JUL-2022,OPTFUT,CE,11150,0.1,
MCX,243031,100,1,CRUDEOIL,CRUDEOIL15JUL22P11100,15-JUL-2022,OPTFUT,PE,11100,0.1,
MCX,243030,100,1,CRUDEOIL,CRUDEOIL15JUL22C11100,15-JUL-2022,OPTFUT,CE,11100,0.1,
MCX,243029,100,1,CRUDEOIL,CRUDEOIL15JUN22P11500,15-JUN-2022,OPTFUT,PE,11500,0.1,
MCX,243028,100,1,CRUDEOIL,CRUDEOIL15JUN22C11500,15-JUN-2022,OPTFUT,CE,11500,0.1,
MCX,235123,30,1,SILVER,SILVER24NOV22P71000,24-NOV-2022,OPTFUT,PE,71000,0.5,
MCX,235122,30,1,SILVER,SILVER24NOV22C71000,24-NOV-2022,OPTFUT,CE,71000,0.5,
MCX,235121,30,1,SILVER,SILVER24NOV22P70750,24-NOV-2022,OPTFUT,PE,70750,0.5,
MCX,235120,30,1,SILVER,SILVER24NOV22C70750,24-NOV-2022,OPTFUT,CE,70750,0.5,
MCX,235119,30,1,SILVER,SILVER24NOV22P70500,24-NOV-2022,OPTFUT,PE,70500,0.5,
MCX,235118,30,1,SILVER,SILVER24NOV22C70500,24-NOV-2022,OPTFUT,CE,70500,0.5,
MCX,235117,30,1,SILVER,SILVER24NOV22P70250,24-NOV-2022,OPTFUT,PE,70250,0.5,
